Customer ID,Date,Delivery Time (Minutes),Estimated Time to Delivery (Minutes),Delivery Meal Name,Location,Delivery Temperature,Desired Temperature,Customer Class Subscription,Monthly Premium,Location Code,Meal Quantity,Gender,Meal Price,Quantity,Claims,Refunded,Refunded Customer,Open Complaints,Amount Refunded,Location Coordinates,Weather Conditions,Feedback
e0214652-cc9b-43af-9707-98f209dceb6b,7/20/2023,56,30,Meat Pie,"Toronto, Ontario, Canada",Cold,Cold,Premium,27,Rural,Small,M,85.3,4,3,2,0,0,14.22,"(43.7, -79.42)",Sunny,Good
a8f3b864-06f1-47cd-af79-95b257c1243b,8/31/2023,57,44,Tacos,"Oakville, Ontario, Canada",Hot,Hot,Premium,27,Urban,Large,F,119.05,5,2,2,1,1,17.01,"(43.45, -79.68)",Snow,Good
db5c7466-4d87-4f26-86b1-ed1bfabccd28,9/24/2023,18,47,Quiche,"Mississauga, Ontario, Canada",Hot,Hot,Basic,14,Urban,Large,F,85.2,1,1,2,2,0,28.4,"(43.59, -79.64)",Sunny,Good
263986e7-c4ee-42d7-a125-87036d46ac07,3/19/2023,57,27,Pizza,"Toronto, Ontario, Canada",Hot,Cold,Basic,14,Suburban,Large,M,54.42,1,3,2,0,1,18.14,"(43.7, -79.42)",Sunny,Bad
9d4c6887-87b9-46a7-9d5d-c1b08a6fed98,11/26/2023,49,40,Pasta,"Hamilton, Ontario, Canada",Hot,Cold,Premium,27,Rural,Large,M,109.5,2,3,1,2,0,36.5,"(43.26, -79.87)",Rainy,Bad
c37d6054-92b3-40a0-bc33-47803983c807,3/19/2023,28,21,Burrito,"Vaughan, Ontario, Canada",Hot,Hot,Basic,14,Urban,Large,M,19.41,3,2,2,1,0,3.88,"(43.84, -79.51)",Sunny,Good
db9d1ec2-7538-4416-804b-58aebf451bb2,4/4/2023,15,32,Tacos,"Toronto, Ontario, Canada",Hot,Hot,Basic,14,Urban,Large,M,102.85,3,1,1,1,1,25.71,"(43.7, -79.42)",Snow,Good
1b47e98a-f78c-421e-a435-d7cea61ad43b,2/11/2024,33,26,Steak,"Barrie, Ontario, Canada",Hot,Hot,Basic,14,Suburban,Small,M,27.06,1,0,0,2,0,27.06,"(44.39, -79.69)",Windy,Good
8d815c90-eeed-447f-b505-7649c476ab32,11/24/2023,37,57,Pasta,"Windsor, Ontario, Canada",Hot,Hot,Basic,14,Urban,Large,F,39.35,5,2,1,2,1,6.56,"(42.31, -83.04)",Windy,Good
16d4bbab-01c2-4961-9bab-00381446f78a,12/4/2023,40,22,Omelette,"Toronto, Ontario, Canada",Hot,Hot,Basic,14,Urban,Large,M,60.91,5,3,2,2,0,8.7,"(43.7, -79.42)",Sunny,Good
9696670d-851f-49d6-b918-76875070bf8b,8/17/2023,18,42,Noodles,"Thunder Bay, Ontario, Canada",Cold,Cold,Basic,14,Suburban,Small,M,57.31,5,1,2,1,0,8.19,"(48.38, -89.25)",Windy,Good
